relation_name,field_name,field_position,field_type,field_length,field_scale,nullable
BANKSTATEMENT,BS_ID,0,INTEGER,4,0,NOT NULL
BANKSTATEMENT,BANK_CT,1,CHAR,5,0,NOT NULL
BANKSTATEMENT,BSDATE,2,DATE,4,0,NOT NULL
BANKSTATEMENT,BSFROM,3,DATE,4,0,NOT NULL
BANKSTATEMENT,BSUNTIL,4,DATE,4,0,NOT NULL
BANKSTATEMENT,BALANCEBF,5,BIGINT/NUMERIC,8,-2,NOT NULL
BANKSTATEMENT,BALANCECF,6,BIGINT/NUMERIC,8,-2,NOT NULL
BANKSTATEMENT,USERID,7,VARCHAR,10,0,NOT NULL
BANKSTATEMENT,TRANSDATE,8,TIMESTAMP,8,0,NOT NULL
BANKSTATEMENTLINE,BS_ID,0,INTEGER,4,0,NOT NULL
BANKSTATEMENTLINE,BSL_ID,1,INTEGER,4,0,NOT NULL
BANKSTATEMENTLINE,BOOKINGDATE,2,DATE,4,0,NOT NULL
BANKSTATEMENTLINE,VALUEDATE,3,DATE,4,0,NOT NULL
BANKSTATEMENTLINE,CREDITAMOUNT,4,BIGINT/NUMERIC,8,-2,NOT NULL
BANKSTATEMENTLINE,DEBITAMOUNT,5,BIGINT/NUMERIC,8,-2,NOT NULL
BANKSTATEMENTLINE,BSLINFO1,6,VARCHAR,60,0,NULLABLE
BANKSTATEMENTLINE,BSLINFO2,7,VARCHAR,60,0,NULLABLE
BANKSTATEMENTLINE,BSLINFO3,8,VARCHAR,60,0,NULLABLE
BANKSTATEMENTLINE,USERID,9,CHAR,11,0,NULLABLE
BANKSTATEMENTLINE,TRANSDATE,10,TIMESTAMP,8,0,NULLABLE
BURIALPERMIT,BUR_ID,0,INTEGER,4,0,NOT NULL
BURIALPERMIT,LOCAL_TIN,1,VARCHAR,13,0,NULLABLE
BURIALPERMIT,MUNICIPAL_ID,2,INTEGER,4,0,NULLABLE
BURIALPERMIT,PAYMENT_ID,3,VARCHAR,36,0,NULLABLE
BURIALPERMIT,BURIALTYPE,4,VARCHAR,10,0,NULLABLE
BURIALPERMIT,NAME,5,VARCHAR,50,0,NULLABLE
BURIALPERMIT,NATIONALITY,6,VARCHAR,30,0,NULLABLE
BURIALPERMIT,AGE,7,VARCHAR,50,0,NULLABLE
BURIALPERMIT,SEX,8,CHAR,1,0,NULLABLE
BURIALPERMIT,DATEOFDEATH,9,VARCHAR,50,0,NULLABLE
BURIALPERMIT,CAUSE,10,VARCHAR,100,0,NULLABLE
BURIALPERMIT,CEMETERY,11,VARCHAR,30,0,NULLABLE
BURIALPERMIT,INFECTIOUS_BV,12,SMALLINT,2,0,NULLABLE
BURIALPERMIT,EMBALMED_BV,13,SMALLINT,2,0,NULLABLE
BURIALPERMIT,DISPOSITION,14,VARCHAR,300,0,NULLABLE
BURIALPERMIT,USER_ID,15,VARCHAR,20,0,NULLABLE
BURIALPERMIT,TRANSDATE,16,TIMESTAMP,8,0,NULLABLE
BURIALPERMIT,DISINTERMENT,17,VARCHAR,50,0,NULLABLE
BUSINESSPERMIT,BP_ID,0,INTEGER,4,0,NOT NULL
BUSINESSPERMIT,LOCAL_TIN,1,CHAR,13,0,NULLABLE
BUSINESSPERMIT,RENEWAL_BV,2,SMALLINT,2,0,NULLABLE
BUSINESSPERMIT,BIR,3,VARCHAR,20,0,NULLABLE
BUSINESSPERMIT,BPTYPE,4,VARCHAR,20,0,NULLABLE
BUSINESSPERMIT,BPDESCRIPTION,5,VARCHAR,100,0,NULLABLE
BUSINESSPERMIT,BPBAC,6,VARCHAR,10,0,NULLABLE
BUSINESSPERMIT,ITRRECEIPTNO,7,VARCHAR,20,0,NULLABLE
BUSINESSPERMIT,ITRDATE,8,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMIT,ITRNOFILE_BV,9,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMIT,BPCROSSSALES_BV,10,SMALLINT,2,0,NULLABLE
BUSINESSPERMIT,BPAMOUNT,11,BIGINT/NUMERIC,8,-2,NULLABLE
BUSINESSPERMIT,BPTAX,12,BIGINT/NUMERIC,8,-2,NULLABLE
BUSINESSPERMIT,BPSOURCE,13,VARCHAR,50,0,NULLABLE
BUSINESSPERMIT,BALANCESHEETDATE,14,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMIT,CAPITALINVESTMENTYEAR,15,INTEGER,4,0,NULLABLE
BUSINESSPERMIT,CAPITALINVESTMENTAMOUNT,16,BIGINT/NUMERIC,8,-2,NULLABLE
BUSINESSPERMIT,OTHERBUSINESS,17,VARCHAR,100,0,NULLABLE
BUSINESSPERMIT,APPLICATIONDATE,18,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMIT,CERTIFICATIONDATE,19,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMIT,USERID,20,VARCHAR,10,0,NULLABLE
BUSINESSPERMIT,TRANSDATE,21,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMIT,BPSTREET,22,VARCHAR,50,0,NULLABLE
BUSINESSPERMIT,BPBARANGAY_CT,23,VARCHAR,3,0,NULLABLE
BUSINESSPERMIT,BPMUN_ID,24,INTEGER,4,0,NULLABLE
BUSINESSPERMIT,BPPROV_CT,25,VARCHAR,3,0,NULLABLE
BUSINESSPERMIT,BPYEAR,26,INTEGER,4,0,NULLABLE
BUSINESSPERMIT,BPDATE,27,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMIT,BPGSRYEAR,28,INTEGER,4,0,NULLABLE
BUSINESSPERMIT,PROP_ID,29,VARCHAR,36,0,NULLABLE
BUSINESSPERMIT,ITAXTYPE_CT,30,VARCHAR,3,0,NULLABLE
BUSINESSPERMIT,BUILDINGNAME_CT,31,INTEGER,4,0,NULLABLE
BUSINESSPERMIT,BUSINESSID,32,VARCHAR,15,0,NULLABLE
BUSINESSPERMIT,BUSINESSPLATE,33,VARCHAR,10,0,NULLABLE
BUSINESSPERMIT,NUMEMPLOYEE,34,INTEGER,4,0,NULLABLE
BUSINESSPERMIT,MANAGERLOCAL_TIN,35,CHAR,13,0,NULLABLE
BUSINESSPERMIT,ACRNUM,36,VARCHAR,20,0,NULLABLE
BUSINESSPERMIT,REGNUM,37,VARCHAR,10,0,NULLABLE
BUSINESSPERMIT,SSSIDNUM,38,VARCHAR,12,0,NULLABLE
BUSINESSPERMIT,REGDATE,39,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMIT,REGPLACE,40,VARCHAR,30,0,NULLABLE
BUSINESSPERMIT,SSSIDDATE,41,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMIT,SSSIDPLACE,42,VARCHAR,30,0,NULLABLE
BUSINESSPERMIT,PHONENUM,43,VARCHAR,30,0,NULLABLE
BUSINESSPERMIT,MAYORSPERMITNUM,44,VARCHAR,10,0,NULLABLE
BUSINESSPERMIT,BPSTATUS,45,VARCHAR,5,0,NULLABLE
BUSINESSPERMIT,DATECHANGED,46,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMIT,DATEEXPIRED,47,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMIT,TRADENAMEFRANCHISE,48,VARCHAR,50,0,NULLABLE
BUSINESSPERMIT,GOVENTITYINCENTIVE,49,VARCHAR,25,0,NULLABLE
BUSINESSPERMIT,NUMOFEMPLOYEES,50,INTEGER,4,0,NULLABLE
BUSINESSPERMIT,NUMOFEMPLOYEESINLGU,51,INTEGER,4,0,NULLABLE
BUSINESSPERMIT,BUSAREA,52,BIGINT/NUMERIC,8,-6,NULLABLE
BUSINESSPERMIT,SUBDIVISIONNAME,53,VARCHAR,50,0,NULLABLE
BUSINESSPERMIT,AMENDMENT,54,VARCHAR,50,0,NULLABLE
BUSINESSPERMIT,EMAIL,55,VARCHAR,30,0,NULLABLE
BUSINESSPERMIT,TREASAPPROVEDATE,56,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMIT,TREASAPPROVEREMARK,57,VARCHAR,1000,0,NULLABLE
BUSINESSPERMIT,EMPMALE,58,INTEGER,4,0,NULLABLE
BUSINESSPERMIT,EMPFEMALE,59,INTEGER,4,0,NULLABLE
BUSINESSPERMIT,MALE,60,INTEGER,4,0,NULLABLE
BUSINESSPERMIT,FEMALE,61,INTEGER,4,0,NULLABLE
BUSINESSPERMITCLEARANCE,BPC_ID,0,INTEGER,4,0,NOT NULL
BUSINESSPERMITCLEARANCE,BP_ID,1,INTEGER,4,0,NULLABLE
BUSINESSPERMITCLEARANCE,BPCLEARANCE_CT,2,INTEGER,4,0,NULLABLE
BUSINESSPERMITCLEARANCE,REMARK,3,VARCHAR,50,0,NULLABLE
BUSINESSPERMITCLEARANCE,COMPLIED_BV,4,SMALLINT,2,0,NULLABLE
BUSINESSPERMITCLEARANCE,USERID,5,VARCHAR,10,0,NULLABLE
BUSINESSPERMITCLEARANCE,TRANSDATE,6,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMITCLEARANCE,DATEISSUED,7,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMITCLEARANCEDETAIL,BPCLRDETAIL_ID,0,INTEGER,4,0,NOT NULL
BUSINESSPERMITCLEARANCEDETAIL,REMARKS,1,VARCHAR,2000,0,NULLABLE
BUSINESSPERMITCLEARANCEDETAIL,BPC_ID,2,INTEGER,4,0,NULLABLE
BUSINESSPERMITCLEARANCEDETAIL,BP_ID,3,INTEGER,4,0,NULLABLE
BUSINESSPERMITCLEARANCEDETAIL,REMARKTYPE,4,VARCHAR,20,0,NULLABLE
BUSINESSPERMITCLEARANCEDETAIL,REMARKNAME,5,VARCHAR,50,0,NULLABLE
BUSINESSPERMITCLEARANCEDETAIL,REMARKDATE,6,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMITCLEARANCEDETAIL,USERID,7,VARCHAR,10,0,NULLABLE
BUSINESSPERMITCLEARANCEDETAIL,TRANSDATE,8,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMITDETAIL,BPDETAIL_ID,0,INTEGER,4,0,NOT NULL
BUSINESSPERMITDETAIL,BP_ID,1,INTEGER,4,0,NULLABLE
BUSINESSPERMITDETAIL,BPCATEGORY_ID,2,INTEGER,4,0,NULLABLE
BUSINESSPERMITDETAIL,GROSSSALES,3,BIGINT/NUMERIC,8,-2,NULLABLE
BUSINESSPERMITDETAIL,TAXDUE,4,BIGINT/NUMERIC,8,-2,NULLABLE
BUSINESSPERMITDETAIL,USERID,5,VARCHAR,10,0,NULLABLE
BUSINESSPERMITDETAIL,TRANSDATE,6,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMITDETAIL,TAXAMOUNT,7,BIGINT/NUMERIC,8,-2,NULLABLE
BUSINESSPERMITDETAIL,NUMUNIT,8,INTEGER,4,0,NULLABLE
BUSINESSPERMITDETAIL,CAPITALINVESTMENT,9,BIGINT/NUMERIC,8,-2,NULLABLE
BUSINESSPERMITDETAIL,TAXABILITY_BV,10,SMALLINT,2,0,NULLABLE
BUSINESSPERMITDETAIL,ENDDATE,11,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMITDETAIL,BUSINESSID,12,VARCHAR,15,0,NULLABLE
BUSINESSPERMITDETAIL,GROSSDECLARED,13,BIGINT/NUMERIC,8,-2,NULLABLE
BUSINESSPERMITDETAIL,GROSSTAXABLE,14,BIGINT/NUMERIC,8,-2,NULLABLE
BUSINESSPERMITDETAIL,STARTDATE,15,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMITDETAIL,OLDTAXDUE,16,BIGINT/NUMERIC,8,-6,NULLABLE
BUSINESSPERMITDETAIL,OLDGROSSTAXABLE,17,BIGINT/NUMERIC,8,-6,NULLABLE
BUSINESSPERMITDETAIL,OLDMAYORSPERMITFEE,18,BIGINT/NUMERIC,8,-6,NULLABLE
BUSINESSPERMITDETAIL,SUBCLASSIFICATION,19,VARCHAR,50,0,NULLABLE
BUSINESSPERMITDETAIL,BPSTATUS,20,VARCHAR,5,0,NULLABLE
BUSINESSPERMITJOURNAL,BPJOURNAL_ID,0,INTEGER,4,0,NOT NULL
BUSINESSPERMITJOURNAL,BP_ID,1,INTEGER,4,0,NULLABLE
BUSINESSPERMITJOURNAL,BPADDON_ID,2,INTEGER,4,0,NULLABLE
BUSINESSPERMITJOURNAL,GROSSINITIAL,3,BIGINT/NUMERIC,8,-2,NULLABLE
BUSINESSPERMITJOURNAL,TAXAMOUNT,4,BIGINT/NUMERIC,8,-2,NULLABLE
BUSINESSPERMITJOURNAL,SURCHARGE,5,BIGINT/NUMERIC,8,-2,NULLABLE
BUSINESSPERMITJOURNAL,INTEREST,6,BIGINT/NUMERIC,8,-2,NULLABLE
BUSINESSPERMITJOURNAL,USERID,7,VARCHAR,10,0,NULLABLE
BUSINESSPERMITJOURNAL,TRANSDATE,8,TIMESTAMP,8,0,NULLABLE
BUSINESSPERMITJOURNAL,BPDETAIL_ID,9,INTEGER,4,0,NULLABLE
BUSINESSPERMITJOURNAL,BUSINESSID,10,VARCHAR,15,0,NULLABLE
BUSINESSPERMITJOURNAL,BPCATEGORY_ID,11,INTEGER,4,0,NULLABLE
BUSINESSPERMITJOURNAL,BPRATES_CT,12,INTEGER,4,0,NULLABLE
