index_name,relation_name,uniqueness,status,sort_order,field_name,field_position
PK_BANKSTATEMENT,BANKSTATEMENT,UNIQUE,ACTIVE,ASC,BS_ID,0
FK_BANKSTATEMENTLINE_BS,BANKSTATEMENTLINE,NON_UNIQUE,ACTIVE,ASC,BS_ID,0
PK_BANKSTATEMENTLINE,BANKSTATEMENTLINE,UNIQUE,ACTIVE,ASC,BS_ID,0
PK_BANKSTATEMENTLINE,BANKSTATEMENTLINE,UNIQUE,ACTIVE,ASC,BSL_ID,1
IDX_BURIALPERMIT_LOCALTIN,BURIALPERMIT,NON_UNIQUE,ACTIVE,ASC,LOCAL_TIN,0
IDX_BURIALPERMIT_PAYMENTID,BURIALPERMIT,NON_UNIQUE,ACTIVE,ASC,PAYMENT_ID,0
PK_BURIALPERMIT,BURIALPERMIT,UNIQUE,ACTIVE,ASC,BUR_ID,0
IDX_BUSINESSPERMIT_BPYEAR,BUSINESSPERMIT,NON_UNIQUE,ACTIVE,ASC,BPYEAR,0
FK_BP_BLDGNAMES,BUSINESSPERMIT,NON_UNIQUE,ACTIVE,ASC,BUILDINGNAME_CT,0
FK_BP_TAXPAYER,BUSINESSPERMIT,NON_UNIQUE,ACTIVE,ASC,LOCAL_TIN,0
FK_BUSINESSPERMIT_1,BUSINESSPERMIT,NON_UNIQUE,ACTIVE,ASC,BPMUN_ID,0
FK_BUSINESSPERMIT_2,BUSINESSPERMIT,NON_UNIQUE,ACTIVE,ASC,BPPROV_CT,0
FK_BUSINESS_REF_PROPB_PROPERTY,BUSINESSPERMIT,NON_UNIQUE,ACTIVE,ASC,PROP_ID,0
IDX_BUSINESSPERMIT_BPID,BUSINESSPERMIT,NON_UNIQUE,ACTIVE,ASC,BP_ID,0
IDX_BUSINESSPERMIT_BPYEAR,BUSINESSPERMIT,NON_UNIQUE,ACTIVE,ASC,BPYEAR,0
IDX_BUSINESSPERMIT_BUSID,BUSINESSPERMIT,NON_UNIQUE,ACTIVE,ASC,BUSINESSID,0
IDX_BUSINESSPERMIT_LOCALTIN,BUSINESSPERMIT,NON_UNIQUE,ACTIVE,ASC,LOCAL_TIN,0
PK_BUSINESSPERMIT_1,BUSINESSPERMIT,UNIQUE,ACTIVE,ASC,BP_ID,0
FK_BPCLRANCE_BP,BUSINESSPERMITCLEARANCE,NON_UNIQUE,ACTIVE,ASC,BP_ID,0
