trigger_name,relation_name,trigger_event,status
BANKSTATEMENT_BI,BANKSTATEMENT,BEFORE INSERT,ACTIVE
BURIALPERMIT_BI,BURIALPERMIT,BEFORE INSERT,ACTIVE
TD_BUSINESSPERMIT,BUSINESSPERMIT,BEFORE INSERT OR UPDATE,ACTIVE
BUSINESSPERMITCLEARANCE_BI,BUSINESSPERMITCLEARANCE,BEFORE INSERT,ACTIVE
TD_BPCLEARANCE,BUSINESSPERMITCLEARANCE,BEFORE INSERT OR UPDATE,ACTIVE
BUSINESSPERMITCLEARANCEDET_BI,BUSINESSPERMITCLEARANCEDETAIL,BEFORE INSERT,ACTIVE
TD_BPCLEARANCEDETAIL,BUSINESSPERMITCLEARANCEDETAIL,BEFORE INSERT OR UPDATE,ACTIVE
TD_BPDETAIL,BUSINESSPERMITDETAIL,BEFORE INSERT OR UPDATE,ACTIVE
TD_BPJOURNAL,BUSINESSPERMITJOURNAL,BEFORE INSERT OR UPDATE,ACTIVE
TD_BPPREVGROSS,BUSINESSPERMITPREVGROSS,BEFORE INSERT OR UPDATE,ACTIVE
TD_BPSTATUS,BUSINESSPERMITSTATUS,BEFORE INSERT OR UPDATE,ACTIVE
TD_CTC,COMMUNITYTAXCERTIFICATE,BEFORE INSERT OR UPDATE,ACTIVE
CTCOTHERLGU_LASTEDITED,CTCOTHERLGU,BEFORE INSERT OR UPDATE,ACTIVE
TD_CTRLVERSION,CTRL_VERSION,BEFORE INSERT OR UPDATE,ACTIVE
TD_EECLEARANCE,EECLEARANCE,BEFORE INSERT OR UPDATE,ACTIVE
TD_EECONTRACT,EECONTRACT,BEFORE INSERT OR UPDATE,ACTIVE
TD_EECONTRACTSECTION,EECONTRACTSECTION,BEFORE INSERT OR UPDATE,ACTIVE
TD_ENFORCEMENT,ENFORCEMENT,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_MANUALDEBIT,MANUALDEBIT,AFTER DELETE,ACTIVE
MANUALDEBIT_LASTEDITED,MANUALDEBIT,BEFORE INSERT OR UPDATE,ACTIVE
TD_MANUALDEBIT,MANUALDEBIT,BEFORE INSERT OR UPDATE,ACTIVE
TD_T_MCHCOFFENCE,MCHOFFENSE,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_PAYMENT,PAYMENT,AFTER DELETE,ACTIVE
PAYMENT_LASTEDITED,PAYMENT,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_PAYMENTCHEQUE,PAYMENTCHEQUE,AFTER DELETE,ACTIVE
PAYMENTCHEQUE_LASTEDITED,PAYMENTCHEQUE,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_PAYMENTCLASSDETAIL,PAYMENTCLASSDETAIL,AFTER DELETE,ACTIVE
PAYMENTCLASSDETAIL_LASTEDITED,PAYMENTCLASSDETAIL,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_PAYMENTDETAIL,PAYMENTDETAIL,AFTER DELETE,ACTIVE
PAYMENTDETAIL_LASTEDITED,PAYMENTDETAIL,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_POSTINGJOURNAL,POSTINGJOURNAL,AFTER DELETE,ACTIVE
POSTINGJOURNAL_LASTEDITED,POSTINGJOURNAL,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_PROPERTY,PROPERTY,AFTER DELETE,ACTIVE
PROPERTY_LASTEDITED,PROPERTY,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_PROPERTYOWNER,PROPERTYOWNER,AFTER DELETE,ACTIVE
PROPERTYOWNER_LASTEDITED,PROPERTYOWNER,BEFORE INSERT OR UPDATE,ACTIVE
PROPERTYOWNERDETAIL_LASTEDITED,PROPERTYOWNERDETAIL,BEFORE INSERT OR UPDATE,ACTIVE
DELETE_PROPERTYREFERENCE,PROPERTYREFERENCE,AFTER DELETE,ACTIVE
